Date,SPX.Index,STI.Index,FBMKLCI.Index,JCI.Index,SET.Index,PCOMP.Index
2001-04-30,1249.46,1707.42,584.5,358.232,300.63,1378.84
2001-05-01,1266.44,,,362.228,,
2001-05-02,1267.43,1718.34,611.42,362.722,299.52,1435.88
2001-05-03,1248.58,1715.63,606.66,371.939,301.09,1430.39
2001-05-04,1266.61,1693.62,576.99,375.558,306.48,1442.46
2001-05-07,1263.51,,,,,1431.91
2001-05-08,1261.2,1678.19,570.91,372.974,,1427.28
2001-05-09,1255.54,1657.6,572.91,372.111,311.73,1441.77
2001-05-10,1255.18,1663.47,573.73,369.033,316.13,1443.85
2001-05-11,1245.67,1680.11,571.02,370.359,310.93,1484.83
2001-05-14,1248.92,1657.76,566.69,368.282,307.53,
2001-05-15,1249.44,1665.2,561.46,370.876,307.47,1457.97
2001-05-16,1284.99,1634.65,565.15,376.228,300.25,1461.79
2001-05-17,1288.49,1659.28,565.61,376.702,300.98,1453.03
2001-05-18,1291.96,1644.06,557.66,376.796,300.64,1448.62
2001-05-21,1312.83,1647.01,554.36,380.38,298.21,1451.76
2001-05-22,1309.38,1658.12,556.52,379.67,304.53,1451.2
2001-05-23,1289.05,1659.9,560.79,380.679,311.17,1446.2
2001-05-24,1293.17,1665.21,567.58,,312.27,1434.68
2001-05-25,1277.89,1654.68,563.72,390.124,311.11,1410.23
2001-05-28,,1644.46,566.09,392.788,316.88,1395.12
2001-05-29,1267.93,1651.8,567.62,406.384,309.47,1385.43
2001-05-30,1248.08,1634.89,570.68,408.927,310.18,1396.5
2001-05-31,1255.82,1627.63,572.88,405.863,310.13,1402.29
2001-06-01,1260.67,1621.8,571.26,396.514,312.06,1416.09
2001-06-04,1267.11,1638.16,,,313.96,1412.45
2001-06-05,1283.57,1650.46,567.36,396.46,310.14,1392.71
2001-06-06,1270.03,1652.58,564.08,397.602,310.46,1389.52
2001-06-07,1276.96,1656.74,567.15,397.964,308.04,1406.65
2001-06-08,1264.96,1683.28,575.71,398.811,312.29,1410.5
2001-06-11,1254.39,1661.23,585.28,404.479,314.4,1435.77
2001-06-12,1255.85,1653.71,593.11,417.049,314.2,
2001-06-13,1241.6,1667.41,598.72,417.083,324.94,1462.66
2001-06-14,1219.87,1659.82,600.86,416.737,322.24,1474.11
2001-06-15,1214.36,1673.34,589.42,417.562,323.97,1479.3
2001-06-18,1208.43,1676.01,584.82,421.473,318.49,1470.92
2001-06-19,1212.58,1665.84,589.93,424.042,319.59,1448.73
2001-06-20,1223.14,1648.88,586.11,432.321,318.47,1449.45
2001-06-21,1237.04,1646.16,592,435.211,316.92,1444.17
2001-06-22,1225.35,1673.5,587.89,437.595,318.67,1439.77
2001-06-25,1218.6,1652.11,590.43,435.752,319.81,1424.52
2001-06-26,1216.76,1654.58,595.24,438.406,320.76,1423.44
2001-06-27,1211.07,1643.13,590.65,436.125,323.21,1415.73
2001-06-28,1226.2,1650.94,586.96,428.474,322.55,1414.79
2001-06-29,1224.42,1670.5,592.99,437.62,322.55,1410.07
2001-07-02,1236.71,1647.35,586.25,431.336,322.45,1395.79
2001-07-03,1234.45,1645.84,591.18,428.655,326.81,1392.07
2001-07-04,,1637.79,598.14,429.007,326.43,1385.99
2001-07-05,1219.24,1631.63,617.14,431.005,324.88,1402.23
2001-07-06,1190.59,1606.22,626.81,432.878,,1396.92
2001-07-09,1198.78,1602.86,627.7,434.538,324.47,1405.39
2001-07-10,1181.52,1628.58,626.23,435.604,323.68,1397.66
2001-07-11,1180.18,1612.4,618.01,437.427,312.64,1390.1
2001-07-12,1208.14,1620.88,609.83,441.466,315,1399.42
2001-07-13,1215.68,1599.95,621.03,446.01,314.31,1396.3
2001-07-16,1202.45,1598.62,630.1,443.324,309.38,1397.61
2001-07-17,1214.44,1579.7,637.4,446.445,315.21,1384.01
2001-07-18,1207.71,1567.14,647.72,453.301,315.16,1393.18
2001-07-19,1215.02,1563,649.49,463.261,316.02,1381.87
2001-07-20,1210.85,1575.84,648.78,460.908,312.27,1376.36
2001-07-23,1191.03,1565.69,637.33,470.229,309.58,1374.83
2001-07-24,1171.65,1563.12,636.59,457.918,308.87,1369.02
2001-07-25,1190.49,1563.37,643.77,447.625,308.1,1366.01
2001-07-26,1202.93,1569.36,642.79,443.694,305.33,1362.58
2001-07-27,1205.82,1570.36,646.33,447.381,301.09,1363.34
2001-07-30,1204.52,1591.19,657.51,449.191,298.33,1350.95
2001-07-31,1211.23,1606.98,659.4,444.081,297.69,1362.89
2001-08-01,1215.93,1626.54,662.96,443.194,300.53,1333.71
2001-08-02,1220.75,1609,661.65,436.461,303.23,1341.56
